Key,Value,Source File,Line Number,Property Name,Element Name,Comment
"TextBlock_Text_47","要更新的压缩包","View/ProjectCompress.xaml",118,"Text","TextBlock","Source: View/ProjectCompress.xaml:118, Element: TextBlock"
"TextBlock_Text_48","输出路径","View/ProjectCompress.xaml",138,"Text","TextBlock","Source: View/ProjectCompress.xaml:138, Element: TextBlock"
"ui_ToolTip_49","仅对必要文件进行压缩，关闭则对项目全量压缩","View/ProjectCompress.xaml",93,"ToolTip","ui","Source: View/ProjectCompress.xaml:93, Element: ui"
"ui_ToolTip_50","将所有文件视为一个数据流进行压缩，提高压缩率","View/ProjectCompress.xaml",98,"ToolTip","ui","Source: View/ProjectCompress.xaml:98, Element: ui"
"ui_ToolTip_51","在现有压缩包基础上更新文件，需要-mx≤5且禁用固实压缩","View/ProjectCompress.xaml",104,"ToolTip","ui","Source: View/ProjectCompress.xaml:104, Element: ui"
"ui_ToolTip_52","Textures文件夹使用存储模式，其他文件使用高压缩率","View/ProjectCompress.xaml",110,"ToolTip","ui","Source: View/ProjectCompress.xaml:110, Element: ui"
"ui_Label_53","启用过滤器","View/ProjectCompress.xaml",93,"Label","ui","Source: View/ProjectCompress.xaml:93, Element: ui"
"ui_Label_54","固实压缩","View/ProjectCompress.xaml",98,"Label","ui","Source: View/ProjectCompress.xaml:98, Element: ui"
"ui_Label_55","增量更新","View/ProjectCompress.xaml",104,"Label","ui","Source: View/ProjectCompress.xaml:104, Element: ui"
"Label_56","跳过贴图压缩","View/ProjectCompress.xaml",110,"Label","Unknown","Source: View/ProjectCompress.xaml:110, Element: Unknown"
"TextBlock_Text_57","插件目录","View/QuickAccess.xaml",27,"Text","TextBlock","Source: View/QuickAccess.xaml:27, Element: TextBlock"
"TextBlock_Text_58","常用网站","View/QuickAccess.xaml",55,"Text","TextBlock","Source: View/QuickAccess.xaml:55, Element: TextBlock"
"TextBlock_Text_59","社区学习库","View/QuickAccess.xaml",67,"Text","TextBlock","Source: View/QuickAccess.xaml:67, Element: TextBlock"
"TextBlock_Text_60","文档","View/QuickAccess.xaml",73,"Text","TextBlock","Source: View/QuickAccess.xaml:73, Element: TextBlock"
"TextBlock_Text_61","自定义文件夹","View/QuickAccess.xaml",93,"Text","TextBlock","Source: View/QuickAccess.xaml:93, Element: TextBlock"
"TextBlock_Text_62","添加","View/QuickAccess.xaml",114,"Text","TextBlock","Source: View/QuickAccess.xaml:114, Element: TextBlock"
"TextBlock_Text_63","删除","View/QuickAccess.xaml",121,"Text","TextBlock","Source: View/QuickAccess.xaml:121, Element: TextBlock
Source: View/Settings.xaml:37, Element: Button
Source: View/DialogContent/Delete_DialogContent.xaml:10, Element: Button"
"TextBlock_Text_64","重命名工具","View/Rename.xaml",17,"Text","TextBlock","Source: View/Rename.xaml:17, Element: TextBlock"
"TextBlock_Text_65","类型选择","View/Rename.xaml",26,"Text","TextBlock","Source: View/Rename.xaml:26, Element: TextBlock"
"TextBlock_Text_66","项目","View/Rename.xaml",33,"Text","TextBlock","Source: View/Rename.xaml:33, Element: TextBlock"
"TextBlock_Text_67","插件","View/Rename.xaml",39,"Text","TextBlock","Source: View/Rename.xaml:39, Element: TextBlock"
"TextBlock_Text_68","蓝图","View/Rename.xaml",47,"Text","TextBlock","Source: View/Rename.xaml:47, Element: TextBlock"
"TextBlock_Text_69","路径设置","View/Rename.xaml",67,"Text","TextBlock","Source: View/Rename.xaml:67, Element: TextBlock"
"tip0_Text","设置输入路径","View/Rename.xaml",70,"Text","TextBlock","Source: View/Rename.xaml:70, Element: TextBlock"
"TextBlock_Text_71","输入重命名名称","View/Rename.xaml",82,"Text","TextBlock","Source: View/Rename.xaml:82, Element: TextBlock"
"TextBlock_Text_72","执行重命名","View/Rename.xaml",106,"Text","TextBlock","Source: View/Rename.xaml:106, Element: TextBlock"
"TextBlock_Text_73","开始重命名","View/Rename.xaml",113,"Text","TextBlock","Source: View/Rename.xaml:113, Element: TextBlock"
"InfoBar_Title","注意","View/Rename.xaml",84,"Title","ui","Source: View/Rename.xaml:84, Element: ui"
"TextBlock_Text_75","引擎目录设定","View/Settings.xaml",29,"Text","TextBlock","Source: View/Settings.xaml:29, Element: TextBlock"
"TextBlock_Text_76","应用设置","View/Settings.xaml",53,"Text","TextBlock","Source: View/Settings.xaml:53, Element: TextBlock"
"TextBlock_Text_77","默认设置","View/Settings.xaml",56,"Text","TextBlock","Source: View/Settings.xaml:56, Element: TextBlock"
"TextBlock_Text_78","实验性选项","View/Settings.xaml",95,"Text","TextBlock","Source: View/Settings.xaml:95, Element: TextBlock"
"TextBlock_Text_79","开启实验性选项后会启用一些尚未完成开发的实验性功能，这些功能可能会不适应未来版本","View/Settings.xaml",98,"Text","TextBlock","Source: View/Settings.xaml:98, Element: TextBlock"
"TextBlock_Text_80","开机启动Fab资产检查","View/Settings.xaml",121,"Text","TextBlock","Source: View/Settings.xaml:121, Element: TextBlock"
"TextBlock_Text_81","使用EpicGames Launcher来打开Fab网站","View/Settings.xaml",131,"Text","TextBlock","Source: View/Settings.xaml:131, Element: TextBlock"
"TextBlock_Text_82","使用Headless方式获取Fab信息（建议关闭，开启后可能会无法爬取）","View/Settings.xaml",141,"Text","TextBlock","Source: View/Settings.xaml:141, Element: TextBlock"
"TextBlock_Text_83","指定Playwright使用的浏览器","View/Settings.xaml",151,"Text","TextBlock","Source: View/Settings.xaml:151, Element: TextBlock
Source: View/Settings.xaml:164, Element: TextBlock"
"TextBlock_Text_84","高级选项","View/Settings.xaml",183,"Text","TextBlock","Source: View/Settings.xaml:183, Element: TextBlock"
"TextBlock_Text_85","启用扩展功能","View/Settings.xaml",193,"Text","TextBlock","Source: View/Settings.xaml:193, Element: TextBlock"
"TextBlock_Text_86","窗口设置","View/Settings.xaml",213,"Text","TextBlock","Source: View/Settings.xaml:213, Element: TextBlock"
"TextBlock_Text_87","窗口样式","View/Settings.xaml",222,"Text","TextBlock","Source: View/Settings.xaml:222, Element: TextBlock"
"TextBlock_Text_88","窗口动画","View/Settings.xaml",238,"Text","TextBlock","Source: View/Settings.xaml:238, Element: TextBlock"
"TextBlock_Text_89","保存设置","View/Settings.xaml",259,"Text","TextBlock","Source: View/Settings.xaml:259, Element: TextBlock"
"TextBlock_Text_90","打开配置文件夹","View/Settings.xaml",265,"Text","TextBlock","Source: View/Settings.xaml:265, Element: TextBlock"
"Button_Content_91","新增","View/Settings.xaml",36,"Content","Button","Source: View/Settings.xaml:36, Element: Button"
"Button_Content_92","自动设置引擎路径","View/Settings.xaml",39,"Content","Button","Source: View/Settings.xaml:39, Element: Button"
"Button0_Label","任务完成后打开输出文件夹","View/Settings.xaml",60,"Label","ui","Source: View/Settings.xaml:60, Element: ui"
"Button3_Label","应用程序启动时自动检查更新","View/Settings.xaml",67,"Label","ui","Source: View/Settings.xaml:67, Element: ui"
"Button1_Label","使用Gitcode作为更新下载源","View/Settings.xaml",74,"Label","ui","Source: View/Settings.xaml:74, Element: ui"
"beta_Button0_Label","Fab免费资产领取通知","View/Settings.xaml",102,"Label","ui","Source: View/Settings.xaml:102, Element: ui"
"TextBlock_Text_97","创建自定义模板","View/Templates.xaml",21,"Text","TextBlock","Source: View/Templates.xaml:21, Element: TextBlock"
"TextBlock_Text_98","将您的Unreal Engine项目转换为可重用的自定义模板","View/Templates.xaml",22,"Text","TextBlock","Source: View/Templates.xaml:22, Element: TextBlock"
"TextBlock_Text_99","引擎选择","View/Templates.xaml",31,"Text","TextBlock","Source: View/Templates.xaml:31, Element: TextBlock"
"TextBlock_Text_100","选择要安装模板的Unreal Engine版本","View/Templates.xaml",38,"Text","TextBlock","Source: View/Templates.xaml:38, Element: TextBlock"
"TextBlock_Text_101","项目选择","View/Templates.xaml",49,"Text","TextBlock","Source: View/Templates.xaml:49, Element: TextBlock"
"TextBlock_Text_102","选择您想要转换为模板的Unreal Engine项目文件夹","View/Templates.xaml",62,"Text","TextBlock","Source: View/Templates.xaml:62, Element: TextBlock"
"TextBlock_Text_103","模板信息","View/Templates.xaml",74,"Text","TextBlock","Source: View/Templates.xaml:74, Element: TextBlock"
"TextBlock_Text_104","以下信息将填入Config\TemplateDefs.ini","View/Templates.xaml",79,"Text","TextBlock","Source: View/Templates.xaml:79, Element: TextBlock"
"TextBlock_Text_105","模板名称","View/Templates.xaml",82,"Text","TextBlock","Source: View/Templates.xaml:82, Element: TextBlock"
"Text_106","启用此选项允许用户直接从此模板创建新项目,这将显示在新建项目对话框中的模板选择区域","View/Templates.xaml",88,"Text","Unknown","Source: View/Templates.xaml:88, Element: Unknown"
"TextBlock_Text_107","禁用则只作为功能包引用","View/Templates.xaml",91,"Text","TextBlock","Source: View/Templates.xaml:91, Element: TextBlock"
"TextBlock_Text_108","英文描述","View/Templates.xaml",106,"Text","TextBlock","Source: View/Templates.xaml:106, Element: TextBlock
Source: View/DialogContent/Add_Categories.xaml:51, Element: TextBlock"
"TextBlock_Text_109","(必填)","View/Templates.xaml",107,"Text","TextBlock","Source: View/Templates.xaml:107, Element: TextBlock
Source: View/DialogContent/Add_Categories.xaml:52, Element: TextBlock"
"TextBlock_Text_110","中文描述","View/Templates.xaml",114,"Text","TextBlock","Source: View/Templates.xaml:114, Element: TextBlock
Source: View/DialogContent/Add_Categories.xaml:59, Element: TextBlock"
"TextBlock_Text_111","日文描述","View/Templates.xaml",120,"Text","TextBlock","Source: View/Templates.xaml:120, Element: TextBlock
Source: View/DialogContent/Add_Categories.xaml:65, Element: TextBlock"
"TextBlock_Text_112","韩文描述","View/Templates.xaml",126,"Text","TextBlock","Source: View/Templates.xaml:126, Element: TextBlock
Source: View/DialogContent/Add_Categories.xaml:71, Element: TextBlock"
"TextBlock_Text_113","模板类别","View/Templates.xaml",140,"Text","TextBlock","Source: View/Templates.xaml:140, Element: TextBlock"
"TextBlock_Text_114","选择模板将显示在新建项目对话框中的类别","View/Templates.xaml",160,"Text","TextBlock","Source: View/Templates.xaml:160, Element: TextBlock"
"TextBlock_Text_115","创建新的分类","View/Templates.xaml",166,"Text","TextBlock","Source: View/Templates.xaml:166, Element: TextBlock"
"TextBlock_Text_116","图标和预览图（可选）","View/Templates.xaml",179,"Text","TextBlock","Source: View/Templates.xaml:179, Element: TextBlock"
"TextBlock_Text_117","模板图标","View/Templates.xaml",184,"Text","TextBlock","Source: View/Templates.xaml:184, Element: TextBlock"
"TextBlock_Text_118","选择图标","View/Templates.xaml",192,"Text","TextBlock","Source: View/Templates.xaml:192, Element: TextBlock
Source: View/DialogContent/Add_Categories.xaml:40, Element: Button"
"Text_119","PNG格式，推荐128x128像素","View/Templates.xaml",195,"Text","Unknown","Source: View/Templates.xaml:195, Element: Unknown"
"TextBlock_Text_120","模板预览图","View/Templates.xaml",201,"Text","TextBlock","Source: View/Templates.xaml:201, Element: TextBlock"
"TextBlock_Text_121","选择预览图","View/Templates.xaml",209,"Text","TextBlock","Source: View/Templates.xaml:209, Element: TextBlock"
"Text_122","PNG格式，推荐400x200像素","View/Templates.xaml",212,"Text","Unknown","Source: View/Templates.xaml:212, Element: Unknown"
"TextBlock_Text_123","打开引擎模板文件夹","View/Templates.xaml",244,"Text","TextBlock","Source: View/Templates.xaml:244, Element: TextBlock"
"TextBlock_Text_124","恢复备份配置文件","View/Templates.xaml",250,"Text","TextBlock","Source: View/Templates.xaml:250, Element: TextBlock"
"TextBlock_Text_125","查看配置文件备份","View/Templates.xaml",256,"Text","TextBlock","Source: View/Templates.xaml:256, Element: TextBlock"
"CheckBox_Content_126","创建模板项目","View/Templates.xaml",87,"Content","CheckBox","Source: View/Templates.xaml:87, Element: CheckBox"
"CheckBox_Content_127","启用多语言配置","View/Templates.xaml",102,"Content","CheckBox","Source: View/Templates.xaml:102, Element: CheckBox"
"TextBlock_Text_128","Command Line Terminal 功能正在开发中，敬请期待！ ","View/Terminal.xaml",17,"Text","TextBlock","Source: View/Terminal.xaml:17, Element: TextBlock"
"ui_Title_129","提示","View/Terminal.xaml",13,"Title","ui","Source: View/Terminal.xaml:13, Element: ui"
"TextBlock_Text_130","Key (必填)","View/DialogContent/Add_Categories.xaml",15,"Text","TextBlock","Source: View/DialogContent/Add_Categories.xaml:15, Element: TextBlock"
"TextBlock_Text_131","应简短易懂，用于从模板引用类别，例如","View/DialogContent/Add_Categories.xaml",19,"Text","TextBlock","Source: View/DialogContent/Add_Categories.xaml:19, Element: TextBlock"
"TextBlock_Text_132","主类别在UI中显示为完整行，非主类别显示为子项","View/DialogContent/Add_Categories.xaml",30,"Text","TextBlock","Source: View/DialogContent/Add_Categories.xaml:30, Element: TextBlock"
"TextBlock_Text_133","类别图标","View/DialogContent/Add_Categories.xaml",34,"Text","TextBlock","Source: View/DialogContent/Add_Categories.xaml:34, Element: TextBlock"
"TextBlock_Text_134","PNG格式，建议大小为600x200像素","View/DialogContent/Add_Categories.xaml",41,"Text","TextBlock","Source: View/DialogContent/Add_Categories.xaml:41, Element: TextBlock"
"TextBlock_Text_135","生成结果:","View/DialogContent/Add_Categories.xaml",83,"Text","TextBlock","Source: View/DialogContent/Add_Categories.xaml:83, Element: TextBlock"
"TextBlock_Text_136","以下文本将插入TemplateCategories.ini，且生成的配置对已安装的引擎全局生效","View/DialogContent/Add_Categories.xaml",86,"Text","TextBlock","Source: View/DialogContent/Add_Categories.xaml:86, Element: TextBlock"
"CheckBox_Content_137","是否为主类别 (Major Category)","View/DialogContent/Add_Categories.xaml",22,"Content","CheckBox","Source: View/DialogContent/Add_Categories.xaml:22, Element: CheckBox"
"CheckBox_Content_138","启用多语言文本配置","View/DialogContent/Add_Categories.xaml",25,"Content","CheckBox","Source: View/DialogContent/Add_Categories.xaml:25, Element: CheckBox"
"Button_Content_139","生成Categories文本","View/DialogContent/Add_Categories.xaml",77,"Content","Button","Source: View/DialogContent/Add_Categories.xaml:77, Element: Button"
"Button_Content_140","重置表单","View/DialogContent/Add_Categories.xaml",78,"Content","Button","Source: View/DialogContent/Add_Categories.xaml:78, Element: Button"
"TextBlock_ToolTip_141","用于从模板引用类别的名称，应简短易懂","View/DialogContent/Add_Categories.xaml",15,"ToolTip","TextBlock","Source: View/DialogContent/Add_Categories.xaml:15, Element: TextBlock"
"TextBlock_Text_142","自定义按钮名称","View/DialogContent/Add_DialogContent.xaml",9,"Text","TextBlock","Source: View/DialogContent/Add_DialogContent.xaml:9, Element: TextBlock"
"TextBlock_Text_143","按钮路径","View/DialogContent/Add_DialogContent.xaml",11,"Text","TextBlock","Source: View/DialogContent/Add_DialogContent.xaml:11, Element: TextBlock"
"Button_Content_144","设置路径","View/DialogContent/Add_DialogContent.xaml",13,"Content","Button","Source: View/DialogContent/Add_DialogContent.xaml:13, Element: Button"
"TextBlock_Text_145","请选择预删除的按钮","View/DialogContent/Delete_DialogContent.xaml",8,"Text","TextBlock","Source: View/DialogContent/Delete_DialogContent.xaml:8, Element: TextBlock"
"TextBlock_Text_146","图片剪裁工具","View/DialogContent/ImageEdit.xaml",21,"Text","TextBlock","Source: View/DialogContent/ImageEdit.xaml:21, Element: TextBlock"
"Text_147","本工具用于将图片剪裁为3:1比例，适用于类别(Categories)图标。","View/DialogContent/ImageEdit.xaml",22,"Text","Unknown","Source: View/DialogContent/ImageEdit.xaml:22, Element: Unknown"
"TextBlock_Text_148","尺寸: ","View/DialogContent/ImageEdit.xaml",122,"Text","TextBlock","Source: View/DialogContent/ImageEdit.xaml:122, Element: TextBlock"
"TextBlock_Text_149","剪裁比例: 3:1","View/DialogContent/ImageEdit.xaml",139,"Text","TextBlock","Source: View/DialogContent/ImageEdit.xaml:139, Element: TextBlock"
"PNGCompressCheckBox_Content","启用压缩","View/DialogContent/ImageEdit.xaml",162,"Content","CheckBox","Source: View/DialogContent/ImageEdit.xaml:162, Element: CheckBox"
"FinishCropButton_Content","完成剪裁","View/DialogContent/ImageEdit.xaml",169,"Content","Button","Source: View/DialogContent/ImageEdit.xaml:169, Element: Button"
"TextBlock_Text_152","进度","View/DialogContent/ProgressInfo.xaml",11,"Text","TextBlock","Source: View/DialogContent/ProgressInfo.xaml:11, Element: TextBlock"
"TextBlock_Text_153","信息","View/DialogContent/ProgressInfo.xaml",26,"Text","TextBlock","Source: View/DialogContent/ProgressInfo.xaml:26, Element: TextBlock"
"TextBlock_Text_154","教程图片","View/DialogContent/Tutorial.xaml",21,"Text","TextBlock","Source: View/DialogContent/Tutorial.xaml:21, Element: TextBlock"
